TAZ_1046,NafaNum
971885,13
87,13
971923,12
971246,1
902,1
971510,1
971250,1
971428,5
1,6
971247,6
3,6
971253,6
971254,6
971255,6
971453,3
971256,3
971971,16
802,16
971972,16
971267,4
971265,4
88,13
971879,13
77,13
971873,13
971872,13
93,13
91,13
971918,12
971248,1
971249,1
971251,1
201,5
971524,1
971354,5
202,5
971970,16
971969,16
971779,16
971750,16
971868,13
75,13
971853,13
74,13
971917,12
971925,12
971926,12
971890,13
971939,12
971909,13
971938,12
971849,13
971798,13
971795,13
971987,13
971877,13
73,12
971793,13
971799,13
971790,13
971783,13
971781,13
971788,13
972146,13
972147,13
95,13
971836,13
971801,13
84,13
971806,13
92,13
971820,13
90,13
971810,13
971818,13
971813,13
971830,13
971842,13
971834,13
971845,13
971824,13
971846,13
971988,13
971815,13
971883,13
971884,13
971888,13
971895,13
971904,13
971892,13
971899,13
971897,13
971902,13
86,13
971840,13
971828,13
971804,13
971826,13
971942,12
986742,8
986741,8
986736,8
971500,8
986967,8
971531,8
971452,3
971922,12
72,12
971940,12
70,12
971937,12
971928,12
986744,8
986952,8
986747,8
971299,8
971499,8
986764,8
986953,8
986853,8
986990,8
971361,8
971539,8
971263,4
971260,4
971460,4
971257,3
971513,3
41,4
971266,4
986957,8
971461,8
971262,4
971264,4
801,16
986722,8
986968,8
986733,8
971458,4
971514,4
986879,8
971503,8
986886,8
986982,8
986893,8
972121,8
986622,8
986786,8
986793,8
986787,8
986798,8
986797,8
986840,8
805,16
986159,14
971362,4
986826,8
971269,4
971268,8
971473,8
986865,8
971364,4
986842,8
986848,8
986960,8
986813,8
51,8
986811,8
986858,8
986987,8
971339,8
971338,4
986835,8
986958,8
986705,8
986845,8
986834,8
971530,8
971297,8
986830,8
986867,8
986871,8
986956,8
971475,8
986864,8
986862,8
971538,8
971283,8
986752,8
986859,8
986872,8
986815,8
986761,8
971377,8
971298,8
986966,8
971472,8
971342,8
986852,8
986750,8
986854,8
986954,8
986816,8
405,9
986318,9
971379,8
971505,8
986962,8
986965,8
986784,8
522,11
971545,11
543,11
971546,11
971648,12
971642,11
972139,11
971643,11
529,11
971959,16
803,16
971963,16
986162,9
986170,9
986164,9
986174,9
971583,9
525,11
972141,11
526,11
972140,11
530,11
523,11
972073,11
986140,14
986143,14
419,14
986139,14
986387,9
434,14
986153,14
986521,9
971559,9
971967,16
971956,16
807,16
971734,16
972097,2
737,2
735,2
971754,16
971775,16
560,11
971617,11
971980,11
557,11
971608,11
532,10
971699,10
536,10
971667,10
541,10
971666,10
562,11
556,11
555,11
528,11
531,11
971978,10
971659,10
527,11
971965,16
503,10
972143,14
971730,14
972144,14
971757,16
971673,10
971961,16
971748,2
971758,2
61,2
971777,2
971767,2
546,10
971974,2
972098,2
723,2
972113,2
971737,2
971774,2
971914,12
64,12
971912,12
67,12
68,12
971948,12
971946,12
971950,12
66,12
65,12
971953,12
60,2
971761,2
971763,2
62,2
971785,2
971768,2
971764,2
971654,11
971698,10
971668,10
533,10
538,10
520,10
971700,10
971701,10
971705,10
519,15
971664,15
516,15
515,15
513,15
469,15
464,15
971694,10
501,14
971691,14
502,10
972142,14
971716,14
971732,14
500,10
971708,15
971629,14
971704,10
498,15
971672,10
971687,10
971954,12
971651,11
551,11
545,11
971601,12
548,12
971652,11
971655,11
971770,2
561,11
540,10
539,11
971656,11
537,10
971615,10
535,10
971982,10
71,12
971910,12
971650,12
550,12
971599,12
552,11
547,11
971646,11
544,11
971607,11
971606,12
553,11
971981,11
558,11
971647,11
971633,11
971684,10
504,10
971682,10
971680,10
970920,10
971676,10
521,10
971669,10
534,10
971630,10
971741,2
971743,2
986244,9
422,9
425,15
972032,15
971855,15
972123,9
986496,9
986477,9
971555,9
986443,9
986970,8
986242,9
421,9
972036,14
429,14
426,15
972035,15
972034,15
972033,15
971573,9
986188,9
986481,9
986475,9
986483,9
971554,9
986410,9
417,9
986239,9
986118,9
971571,9
987002,9
987001,9
971560,9
986086,9
416,9
972128,9
986230,9
986563,9
986445,9
986447,9
986487,9
986479,9
986489,9
986485,9
986449,9
514,15
512,15
468,15
505,15
467,15
427,15
431,14
428,15
439,15
972150,15
972044,15
972149,15
438,15
971979,15
971575,14
986126,9
986150,14
972126,9
986216,9
986286,9
986275,9
986295,9
986402,9
986214,9
986222,9
972031,9
986227,9
986256,9
971565,9
986302,9
971570,9
986942,9
986218,9
986220,9
407,9
972030,9
986225,9
986223,9
971562,9
986307,9
986268,9
986528,9
971563,9
986313,9
972127,9
986554,9
986454,9
986567,9
986414,9
986439,9
986441,9
971564,9
986909,9
986277,9
986272,9
986415,9
986437,9
986996,9
972125,9
986569,9
986571,9
971557,9
986993,9
404,9
986333,9
972124,9
986453,9
986551,9
986516,9
411,9
986355,9
986237,9
986358,9
986363,9
986557,9
403,9
971585,9
986080,9
986506,9
401,9
402,9
986349,9
986166,9
971710,15
494,15
496,14
972063,15
471,15
446,15
447,15
971641,15
972043,15
445,15
971856,15
972040,15
972070,14
448,15
972069,14
971625,15
972138,15
972037,15
971580,14
986138,9
986120,9
986131,9
414,9
987004,9
986135,9
418,9
495,15
971709,15
477,15
971665,15
971711,14
476,15
497,14
499,14
482,15
972071,14
971864,14
971862,14
484,15
485,14
971867,14
972152,14
490,14
972072,14
972131,14
971598,14
474,15
475,15
473,15
971626,14
510,15
449,15
452,15
454,15
458,15
972046,15
450,15
972045,15
972042,15
972047,15
972064,15
507,15
506,15
508,15
971610,15
465,15
517,15
509,15
972058,15
972049,15
972134,15
971624,15
453,15
455,15
518,15
971663,15
972061,15
972062,15
972059,15
971622,15
972060,15
478,15
456,15
972051,15
972052,15
459,15
972050,15
972048,15
972137,15
971637,15
972065,15
463,15
971636,15
972136,15
466,15
972056,15
972057,15
972132,15
971623,15
972133,15
462,15
972054,15
972053,15
457,15
971983,15
972154,15
511,15
460,15
461,15
972055,15
472,15
972067,15
972066,15
483,15
972135,15
493,14
972068,15
971635,15
479,15
972148,15
971614,15
972153,15
972041,15
986540,9
986203,9
986199,9
986205,9
986398,9
971594,16
423,14
971547,14
424,14
971860,14
971733,14
971549,14
971578,14
436,14
971576,14
971865,14
972151,14
972130,14
971714,14
971703,10
971695,10
486,14
971628,14
972129,14
491,14
489,14
972145,14
430,14
432,14
420,14
435,14
440,14
971595,14
972038,14
972039,14
441,14
971577,14
971582,14
986710,8
986972,8
971482,8
986756,8
986718,8
986735,8
986326,9
986320,9
971592,14
971586,9
986361,9
986973,8
986503,9
987009,9
986501,9
987011,9
986998,9
986074,9
986409,9
987012,9
986133,9
410,9
986374,9
986073,9
415,9
986180,9
986518,9
986975,8
986336,9
986988,8
986977,8
986716,8
971497,8
971501,8
986984,8
971378,8
986980,8
986981,8
986343,9
986714,8
971589,9
413,9
987005,9
987010,8
986890,8
972122,8
986775,8
986778,8
986769,8
986771,8
971752,16
734,2
971985,2
720,2
729,2
733,2
731,2
732,2
971986,2
58,2
728,2
972105,2
972106,2
722,2
972107,2
721,2
738,2
725,2
726,2
971746,2
711,2
710,2
972090,2
705,2
719,2
972075,2
702,2
972104,2
972112,2
972099,2
972102,2
739,2
712,2
972091,2
716,2
717,2
972089,2
972081,2
972082,2
972077,2
703,2
972076,2
701,2
972074,2
972109,2
972079,2
704,2
709,2
972111,2
714,2
972083,2
707,2
736,2
972094,2
718,2
972092,2
972093,2
713,2
715,2
972096,2
972086,2
972087,2
972088,2
706,2
972085,2
972095,2
740,2
972110,2
972100,2
972101,2
972114,2
972103,2
727,2
724,2
972078,2
972084,2
708,2
972115,2
972108,2
971984,2
972080,2
730,2
809,16
806,16
207,5
209,5
210,5
227,7
971989,7
971308,5
203,5
205,5
212,5
231,7
971993,7
971990,7
971991,7
225,7
971519,5
971509,5
971518,5
971369,5
971355,5
971532,5
971326,5
971307,5
971371,5
15,5
971370,5
971327,5
971507,4
971517,5
233,7
232,7
971992,7
228,7
223,7
971291,5
971368,5
971511,1
971523,1
971336,1
971329,5
971358,4
971312,4
971261,4
971337,4
310,7
972117,7
971270,7
972116,7
971508,8
971282,8
971316,7
971314,7
243,7
241,7
235,7
971994,7
971995,7
256,7
250,7
972001,7
286,7
253,7
252,7
972003,7
254,7
251,7
972002,7
971999,7
248,7
234,7
239,7
309,7
971318,4
971319,4
971284,4
971320,4
971365,7
971315,4
222,5
971281,8
317,7
972119,7
972118,7
972029,7
279,7
272,7
280,7
972028,7
972120,7
972027,7
288,7
287,7
972026,7
284,7
281,7
972004,7
972025,7
283,7
282,7
972023,7
972024,7
260,7
972009,7
971300,8
971359,8
972155,8
972006,7
972010,7
266,7
268,7
269,7
255,7
972007,7
258,7
972011,7
263,7
267,7
972012,7
972020,7
270,7
972013,7
257,7
259,7
972017,7
972015,7
271,7
274,7
972021,7
275,7
278,7
972016,7
972019,7
264,7
265,7
273,7
972014,7
261,7
972008,7
972022,7
277,7
276,7
262,7
236,7
972000,7
972005,7
226,7
971997,7
249,7
971998,7
238,7
230,7
971996,7
237,7
229,7
224,7
285,7
971973,7
242,7
208,5
204,5
971277,5
971292,5
19,5
971330,5
971373,5
971439,3
971252,1
971512,1
971526,1
971527,1
971528,1
971259,3
971515,3
32,3
971357,3
971258,3
971376,4
971363,4
971459,4
971309,1
971356,5
215,5
214,5
971349,5
971335,3
971294,3
971295,1
33,5
971333,5
971290,5
971296,4
971287,4
971340,4
971454,4
971360,5
971529,4
971286,4
971334,5
971293,5
971310,5
971375,5
971311,5
971324,5
971374,5
971346,5
971323,5
971322,4
971289,4
971278,4
971516,4
971285,4
971366,4
971288,4
294,4
971367,4
971279,4
296,4
297,4
971313,4
971280,4
986837,8
971317,4
295,4
971321,4
971521,5
971520,5
971522,5
971425,5
971332,5
971533,5
971328,5
971352,5
971372,5
971331,5
216,5
971325,5
971525,1
8,1
986298,9
986305,9
